date,no2,o3,pm2.5,pm10,AQI_PM25,AQI_PM10,AQI_NO2,AQI_O3,AQI_day_max,value
2015-07-17,97.01757068062828,0.03795560280373832,25.4,43.5,79,121,97,31,121,0.0
2015-07-18,86.49681675392671,0.0432712523364486,23.9,50.2,76,137,85,36,137,0.0
2015-07-19,68.01841361256544,0.04260772897196261,14.0,31.4,55,91,66,36,91,0.0
2015-07-20,68.33883246073299,0.027790588785046727,22.9,28.5,74,85,66,23,85,0.0
2015-07-21,108.72887958115183,0.036671686915887854,21.5,32.5,71,94,102,31,102,0.0
2015-07-22,102.88348691099478,0.033791443925233644,24.1,42.3,76,117,101,28,117,0.0
2015-07-23,116.94011518324608,0.037331014018691586,20.3,27.6,68,84,104,31,104,0.0
2015-07-24,64.5829214659686,0.03236228037383178,15.8,25.2,59,78,62,27,78,0.0
2015-07-25,61.061319371727755,0.03380566822429907,14.963636363636363,21.2,57,70,58,28,70,0.0
2015-07-26,75.76704188481675,0.03173069626168224,14.987878787878788,26.1,57,80,73,26,80,0.0
2015-07-27,78.00396858638744,0.02893298598130841,18.7,26.1,65,80,77,24,80,0.0
2015-07-28,75.27965445026179,0.03434189252336449,18.8,24.8,65,78,73,29,78,0.0
2015-07-29,59.80417801047121,0.032779841121495325,15.6,24.9,58,78,56,27,78,0.0
2015-07-30,43.043518324607334,0.03795560280373832,14.7,27.7,56,84,41,31,84,0.0
2015-07-31,102.0509005235602,0.047001532710280375,23.3,35.7,75,101,101,40,101,0.0
2015-08-01,77.79068586387434,0.0365567476635514,21.3,24.6,70,77,76,31,77,0.0
2015-08-02,93.05013612565446,0.056117406542056075,19.4,27.2,66,83,93,47,93,0.0
2015-08-03,75.87693717277487,0.04147605607476635,23.0,30.4,74,89,73,35,89,0.0
2015-08-04,82.03748691099476,0.0381887476635514,19.7,44.0,67,122,81,32,122,0.0
2015-08-05,98.17834031413614,0.036207032710280376,28.9,34.2,86,97,98,31,98,0.0
2015-08-06,112.44924083769634,0.032523383177570094,22.1,28.4,72,85,103,27,103,0.0
2015-08-07,71.79735078534031,0.03596806074766355,16.7,32.4,60,93,69,30,93,0.0
2015-08-08,76.9876387434555,0.05343626635514019,21.8,29.1,71,87,74,45,87,0.0
2015-08-09,103.64998952879583,0.04602233644859813,19.1,27.9,66,84,101,39,101,0.0
2015-08-10,77.96566492146597,0.021691892523364488,25.3,24.7,79,77,76,18,79,0.0
2015-08-11,83.07935078534031,0.02207859813084112,23.7,41.2,75,115,82,19,115,0.0
2015-08-12,73.17740837696334,0.03340932242990654,16.1,45.8,59,126,71,28,126,0.0
2015-08-13,36.403083769633504,0.02592544859813084,29.1,39.9,87,112,34,21,112,0.0
2015-08-14,91.53164921465968,0.036495663551401866,55.8,93.6,151,171,90,31,171,0.0
2015-08-15,52.09259685863874,0.032340364485981314,22.9,51.9,74,141,49,27,141,0.0
2015-08-16,71.06664921465969,0.030999331775700936,26.7,28.2,81,85,69,25,85,0.0
2015-08-17,39.971916230366496,0.035879934579439256,22.2,49.7,72,136,37,30,136,0.0
2015-08-18,90.56638743455497,0.029002929906542057,28.2,54.2,85,147,89,25,147,0.0
2015-08-19,82.06802617801048,0.03425329906542056,26.0,30.0,80,89,81,29,89,0.0
2015-08-20,77.92561256544502,0.02403,26.7,32.5,81,94,76,20,94,0.0
2015-08-21,110.10742931937173,0.033782350467289717,24.9,31.4,78,91,103,28,103,0.0
2015-08-22,75.46865445026178,0.04746618691588785,30.1,29.4,89,87,73,40,89,0.0
2015-08-23,67.00333507853404,0.04355288785046729,29.3,33.5,87,96,65,36,96,0.0
2015-08-24,38.69132460732985,0.023436420560747663,12.8,19.7,52,67,36,19,67,0.0
2015-08-25,75.04084293193718,0.02468956074766355,23.4,46.8,75,129,73,20,129,0.0
2015-08-26,73.57392670157068,0.03038359813084112,27.8,26.9,84,82,71,25,84,0.0
2015-08-27,87.28535078534033,0.028470897196261682,23.1,33.3,74,95,86,24,95,0.0
2015-08-28,98.79514659685864,0.03297824299065421,22.1,27.0,72,82,98,27,98,0.0
2015-08-29,78.74693717277488,0.033527528037383174,33.8,30.3,96,89,77,28,96,0.0
2015-08-30,34.164659685863874,0.03189389719626168,43.3,49.9,120,136,32,26,136,0.0
2015-08-31,32.31098429319372,0.026788074766355138,18.0,20.9,63,69,30,22,69,0.0
2015-09-01,74.50189005235602,0.028141233644859813,21.2,27.8,70,84,72,24,84,0.0
2015-09-02,59.36760732984293,0.029492528037383177,25.7,27.8,79,84,56,25,84,0.0
2015-09-03,56.19070157068063,0.027953789719626167,17.5,21.6,62,71,53,23,71,0.0
2015-09-04,42.217685863874344,0.025645677570093457,12.3,20.8,51,69,40,21,69,0.0
2015-09-05,44.80557068062827,0.026272364485981307,16.1,23.1,59,74,42,22,74,0.0
2015-09-06,48.36071727748691,0.03427195327102804,20.3,27.6,68,84,45,29,84,0.0
2015-09-07,42.1278167539267,0.02641504672897196,14.9,21.9,57,71,40,22,71,0.0
2015-09-08,54.08470157068063,0.026734219626168225,11.4,15.1,48,57,51,22,57,0.0
2015-09-09,70.95425130890052,0.03839857476635514,23.2,25.7,74,79,68,32,79,0.0
2015-09-10,131.52417801047122,0.03537448130841122,25.7,39.4,79,110,107,30,110,0.0
2015-09-11,94.4089109947644,0.04518302336448598,35.6,44.5,101,123,94,38,123,0.0
2015-09-12,78.52590052356021,0.038794915887850466,24.6,31.1,77,91,77,32,91,0.0
2015-09-13,57.12417277486911,0.02923607476635514,16.7,25.1,60,78,54,25,78,0.0
2015-09-14,86.74990052356021,0.031684070093457944,24.1,24.1,76,76,85,26,85,0.0
2015-09-15,89.74331413612566,0.03371241121495327,25.2,27.1,78,83,88,28,88,0.0
2015-09-16,60.521863874345556,0.030076084112149532,14.0,21.7,55,71,57,25,71,0.0
2015-09-17,118.3584659685864,0.03427195327102804,27.4,31.1,83,91,104,29,104,0.0
